# Summary of K2 Program GO8037

Title: Pulsation dynamics and galactic structure studies using K2 RR Lyrae stars

PI: Szabo, Robert (Konkoly Observatory of the Hungarian Academy of Sciences)
CoIs: Plachy, Emese; Banyai, Evelin; Molnar, Laszlo; Kolenberg, Katrien

Abstract. Space observations of RR Lyrae stars delivered an avalanche of discoveries including new dynamical phenomena that helped to study the internal structure and evolution of horizontal-branch stars. These objects are excellent galactic structure tracers and distance indicators, therefore understanding their dynamics is of crucial importance to advance our knowledge of galaxy formation and evolution in the Local Group of galaxies and beyond. In this proposal we plan to study ~110 RR Lyrae stars in Field 8 and ~230 in Field 10 in long cadence and 5-5 in short cadence mode. The sample will be used to conduct galactic structure studies and to improve our understanding of the pulsational dynamics of RR Lyrae stars.

Research goals. 1. Study the Galactic structure and history by obtaining distances to RR Lyrae stars and determine their spatial distribution (halo streams, over-densities). During the K2 Mission we are building a unique database from field to field covering different parts of our Galaxy, to yield an unprecedented photometric RR Lyrae sample which will form the base of galactic structure studies and near-field cosmology. 2. Statistical analysis of various dynamical phenomena (double-mode pulsation, Blazhko-modulation, period-doubling, low-dimensional chaos, nonradial modes) and their occurrence rates to better understand their origin and their effect on distance determination. This can only be accomplished with K2. 3. Analyze in detail all RR Lyrae light curves, especially overtone and classical double-mode pulsators. The original Kepler field contained no double-mode RR Lyrae stars, and only a few overtone pulsators. In previous fields K2 observed 5 RRd and 24 RRc, but with Fields 8 &10 we will be able to increase their number by a factor of 2 and 3, respectively. This will aid the investigation of dynamical phenomena (resonances, mode interactions) that may be important in other types of pulsating stars, but can be best studied only in large-amplitude stars and with space photometry, and will also help to derive masses for RRd stars.

Methods. We produce light curves from target pixel data (PyKE and own software), then apply corrections, trend-filtering, outlier removal, etc. Standard time-frequency analysis (by e.g. Period04) and study of time-dependent features are envisaged. Metallicities will be derived from empirical relations calibrated with high-resolution Keck/CFHT spectra. State-of-the-art numerical hydrocodes (Florida-Budapest, Warsaw) will be used to interpret the results. Synthetic galactic models (TRILEGAL) will be used to compare the galactic location and number of the observed sample with simulations.
Targets. Approximately 100 and 230 RR Lyrae stars will be proposed (5-5 stars per field for short cadence observations). Although the RR Lyrae stars are faint due to their distances, the majority falling between 15 and 19 mag, where Kepler's precision is still high for these objects. 

Experience of team members. Our team consists of members of the Working Group#7 (RR Lyrae and Cepheids) of the Kepler Asteroseismic Science Consortium, who have been working on Kepler data (also preparation and target selection) since the launch of the original mission. Our scientists are experts on data reduction, pixel photometry, light curve and time-frequency analysis, as well as theorists performing numerical hydrodynamical modeling. We developed dedicated software and routinely analyze Kepler and K2 data, and published 15+ Kepler RR Lyrae papers in high-impact journals. The group has access to ground-based follow-up (multi- color photometric and spectroscopic) instruments in Taiwan, Korea, USA, Canada and Hungary to complement space-based observations. We are currently finalizing two K2 papers featuring the first unambiguous detection of the Blazhko effect beyond the Magellanic Clouds, and a summary paper on RR Lyrae stars observed in the K2 Engineering Field.


# Targets requested by this program that have been observed (85)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
220142950, 17.3205414, -2.1636569, 14.977, GO8037_LC|GO8037_SC
220146083, 17.6936245, -2.037431, 17.605, GO8037_LC
220161256, 16.3709412, -1.502808, 14.069, GO8037_LC
220180957, 14.6166706, -0.750592, 18.2, GO8037_LC
220181683, 13.3693409, -0.722576, 18.023, GO8037_LC
220189368, 16.9373493, -0.410251, 18.339, GO8037_LC
220190195, 16.4987946, -0.378889, 16.743, GO8037_LC
220191991, 16.5013485, -0.309445, 14.189, GO8037_LC|GO8037_SC
220192221, 12.3486414, -0.299824, 18.411, GO8037_LC
220198467, 15.6211233, -0.059295, 15.815, GO8037_LC
220198696, 13.4092722, -0.050701, 16.057, GO8037_LC
220209683, 18.6942596, 0.345839, 15.691, GO8037_LC
220220825, 21.8098106, 0.73433, 18.321, GO8037_LC
220229719, 18.3891926, 1.0442801, 15.304, GO8037_LC|GO8042_LC
220235122, 22.0565491, 1.232618, 17.906, GO8037_LC
220236119, 19.0172119, 1.262714, 17.606, GO8037_LC
220242787, 14.7564287, 1.41286, 18.978, GO8037_LC
