# KID, Season, Target Table Number
10874614,Q6M3,37
10874614,Q9M1,44
10874614,Q9M2,45
10874614,Q9M3,46
10874614,Q10M1,47
10874614,Q10M2,48
10874614,Q10M3,49
10874614,Q12M1,53
10874614,Q12M2,54
10874614,Q12M3,55
10875245,Q3M1,26
10875245,Q3M2,27
10875245,Q3M3,28
10875245,Q4M1,29
10875245,Q4M2,30
10875245,Q4M3,31
10875245,Q5M1,32
10875245,Q5M2,33
10875245,Q5M3,34
10875245,Q6M1,35
10875245,Q6M2,36
10875245,Q6M3,37
10875245,Q9M1,44
10875245,Q9M2,45
10875245,Q9M3,46
10875245,Q10M1,47
10875245,Q10M2,48
10875245,Q10M3,49
10875245,Q14M1,59
10875245,Q14M2,60
10875245,Q14M3,61
10875245,Q17M1,68
10875245,Q17M2,69
10875245,Q17M3,70
10878263,Q6M1,35
10878263,Q6M2,36
10878263,Q6M3,37
10878263,Q8M1,41
10878263,Q8M2,42
10878263,Q8M3,43
10878263,Q10M1,47
10878263,Q10M2,48
10878263,Q10M3,49
10878263,Q12M1,53
10878263,Q12M2,54
10878263,Q12M3,55
10878263,Q13M1,56
10878263,Q13M2,57
10878263,Q13M3,58
10878263,Q14M1,59
10878263,Q14M2,60
10878263,Q14M3,61
10878263,Q17M1,68
10878263,Q17M2,69
10878263,Q17M3,70
10879812,Q3M2,27
10904857,Q6M1,35
10904857,Q6M2,36
10904857,Q6M3,37
10904857,Q7M3,40
10904857,Q14M1,59
10904857,Q14M2,60
10904857,Q14M3,61
10904857,Q15M1,62
10904857,Q15M2,63
10904857,Q15M3,64
10905239,Q5M1,32
10905239,Q5M2,33
10905239,Q5M3,34
10905746,Q14M1,59
10905746,Q14M2,60
10905746,Q14M3,61
10905746,Q15M1,62
10905746,Q15M2,63
10905746,Q15M3,64
10905746,Q16M1,65
10905746,Q16M2,66
10905746,Q16M3,67
10907438,Q4M2,30
10908196,Q2M2,24
10909274,Q10M1,47
10909274,Q10M2,48
10909274,Q10M3,49
10909274,Q11M1,50
10909274,Q11M2,51
10909274,Q11M3,52
10909274,Q14M1,59
10909274,Q14M2,60
10909274,Q14M3,61
10909274,Q15M1,62
10909274,Q15M2,63
10909274,Q15M3,64
10909629,Q2M2,24
10909629,Q5M1,32
10909629,Q5M2,33
10909629,Q5M3,34
10909629,Q6M1,35
10909629,Q6M2,36
10909629,Q6M3,37
10909629,Q7M1,38
10909629,Q7M2,39
10909629,Q7M3,40
10909629,Q11M1,50
10909629,Q11M2,51
10909629,Q11M3,52
10910310,Q2M1,23
10910878,Q9M1,44
10910878,Q9M2,45
10910878,Q9M3,46
10918763,Q3M1,26
10920182,Q2M1,23
10920182,Q2M2,24
10920182,Q2M3,25
10920182,Q3M1,26
10920182,Q3M2,27
10920182,Q3M3,28
10920273,Q1,20
10920273,Q2M1,23
10920273,Q2M2,24
10920273,Q2M3,25
10920273,Q3M1,26
10920273,Q3M2,27
10920273,Q3M3,28
10920273,Q4M1,29
10920273,Q4M2,30
10920273,Q4M3,31
10920273,Q8M1,41
10920273,Q8M2,42
10920273,Q8M3,43
10920273,Q10M1,47
10920273,Q10M2,48
10920273,Q10M3,49
10920447,Q4M3,31
10922836,Q4M3,31
10925104,Q5M1,32
10925104,Q5M2,33
10925104,Q5M3,34
10925104,Q9M1,44
10925104,Q9M2,45
10925104,Q9M3,46
10925104,Q13M1,56
10925104,Q13M2,57
10925104,Q13M3,58
10928043,Q9M3,46
10933561,Q6M1,35
10933561,Q6M2,36
10933561,Q6M3,37
10934241,Q3M2,27
10936427,Q17M1,68
10936427,Q17M2,69
10936427,Q17M3,70
10937029,Q10M1,47
10937029,Q10M2,48
10937782,Q1,20
10937782,Q5M1,32
10937782,Q5M2,33
10937782,Q5M3,34
10937782,Q6M1,35
10937782,Q6M2,36
10937782,Q6M3,37
10938166,Q2M3,25
10959362,Q2M3,25
10963065,Q2M3,25
10963065,Q5M1,32
10963065,Q5M2,33
10963065,Q5M3,34
10963065,Q6M1,35
10963065,Q6M2,36
10963065,Q6M3,37
10963065,Q7M1,38
10963065,Q7M2,39
10963065,Q7M3,40
10963065,Q10M1,47
10963065,Q10M2,48
10963065,Q10M3,49
10963065,Q11M1,50
10963065,Q11M2,51
10963065,Q11M3,52
10963065,Q13M1,56
10963065,Q13M2,57
10963065,Q13M3,58
10963065,Q14M1,59
10963065,Q14M2,60
10963065,Q14M3,61
10963065,Q15M1,62
10963065,Q15M2,63
10963065,Q15M3,64
10963065,Q17M1,68
10963065,Q17M2,69
10963065,Q17M3,70
10963731,Q3M3,28
10965963,Q11M1,50
10965963,Q11M2,51
10965963,Q11M3,52
10969935,Q4M2,30
10971974,Q4M2,30
10972252,Q1,20
10972873,Q1,20
10972873,Q5M1,32
10972873,Q5M2,33
10972873,Q5M3,34
10972873,Q7M2,39
10972873,Q7M3,40
10972873,Q8M1,41
10972873,Q8M2,42
10972873,Q8M3,43
10972873,Q9M1,44
10972873,Q9M2,45
10972873,Q9M3,46
10972873,Q10M2,48
10972873,Q10M3,49
10972873,Q11M1,50
10972873,Q11M2,51
10972873,Q11M3,52
10972873,Q12M1,53
10972873,Q12M2,54
10972873,Q12M3,55
10972873,Q13M1,56
10972873,Q13M2,57
10972873,Q13M3,58
10972873,Q14M2,60
10972873,Q14M3,61
10972873,Q15M1,62
10972873,Q15M2,63
10972873,Q15M3,64
10972873,Q17M1,68
10972873,Q17M2,69
10972873,Q17M3,70
10973664,Q16M1,65
10973664,Q16M2,66
10973664,Q16M3,67
10973664,Q17M1,68
10973664,Q17M2,69
10974032,Q3M3,28
10975146,Q10M2,48
10975146,Q11M2,51
10975247,Q1,20
10976896,Q3M2,27
10976930,Q4M3,31
10977751,Q2M3,25
10977859,Q1,20
10977859,Q5M1,32
10977859,Q5M2,33
10977859,Q5M3,34
10977859,Q8M1,41
10977859,Q8M2,42
10977859,Q8M3,43
10977859,Q9M1,44
10977859,Q9M2,45
10977859,Q9M3,46
10977859,Q10M1,47
10977859,Q10M2,48
10977859,Q10M3,49
10977859,Q11M1,50
10977859,Q11M2,51
10977859,Q11M3,52
10977859,Q12M1,53
10977859,Q12M2,54
10977859,Q12M3,55
10977859,Q13M1,56
10977859,Q13M2,57
10977859,Q13M3,58
10977859,Q14M1,59
10977859,Q14M2,60
10977859,Q14M3,61
10977859,Q15M1,62
10977859,Q15M2,63
10977859,Q15M3,64
10977859,Q16M1,65
10977859,Q16M2,66
10977859,Q16M3,67
10977859,Q17M1,68
10977859,Q17M2,69
10977859,Q17M3,70
10979505,Q4M3,31
10982872,Q7M1,38
10982872,Q7M2,39
10982872,Q7M3,40
10982872,Q8M1,41
10982872,Q8M2,42
10982872,Q8M3,43
10982872,Q15M1,62
10982872,Q15M2,63
10982872,Q15M3,64
10982872,Q16M1,65
10982872,Q16M2,66
10982872,Q16M3,67
10983401,Q2M1,23
10984090,Q3M1,26
10984090,Q3M2,27
10984090,Q3M3,28
10984090,Q5M1,32
10984090,Q5M2,33
10984090,Q5M3,34
10984090,Q7M3,40
10989622,Q3M1,26
10991271,Q2M3,25
10991769,Q1,20
11012801,Q4M2,30
11013201,Q2M1,23
11013201,Q5M1,32
11013201,Q5M2,33
11013201,Q5M3,34
11013201,Q8M1,41
11013201,Q8M2,42
11013201,Q8M3,43
11015108,Q6M1,35
11015108,Q6M2,36
11015108,Q6M3,37
11017626,Q2M2,24
11017637,Q3M2,27
11018648,Q15M1,62
11018648,Q15M2,63
11018648,Q15M3,64
11018874,Q2M1,23
11020521,Q1,20
11020521,Q2M1,23
11020521,Q2M2,24
11020521,Q2M3,25
11020521,Q3M1,26
11020521,Q3M2,27
11020521,Q3M3,28
11020521,Q4M1,29
11020521,Q4M2,30
11020521,Q4M3,31
11021188,Q2M2,24
11021188,Q2M3,25
11021188,Q3M1,26
11021188,Q3M2,27
11021188,Q3M3,28
11021188,Q4M1,29
11021188,Q4M2,30
11021188,Q4M3,31
11021188,Q7M1,38
11021188,Q7M2,39
11021188,Q7M3,40
11021188,Q11M1,50
11021188,Q11M2,51
11021188,Q11M3,52
11021406,Q6M1,35
11021406,Q6M2,36
11021406,Q6M3,37
11021406,Q11M1,50
11021406,Q11M2,51
11021406,Q11M3,52
11026764,Q1,20
11026764,Q5M1,32
11026764,Q5M2,33
11026764,Q5M3,34
11026764,Q7M1,38
11026764,Q7M2,39
11026764,Q7M3,40
11026764,Q8M1,41
11026764,Q8M2,42
11026764,Q8M3,43
11026764,Q9M1,44
11026764,Q9M2,45
11026764,Q9M3,46
11026764,Q10M1,47
11026764,Q10M2,48
11026764,Q10M3,49
11026764,Q11M1,50
11026764,Q11M2,51
11026764,Q11M3,52
11026764,Q12M1,53
11026764,Q12M2,54
11026764,Q12M3,55
11026764,Q13M1,56
11026764,Q13M2,57
11026764,Q13M3,58
11026764,Q14M1,59
11026764,Q14M2,60
11026764,Q14M3,61
11026764,Q15M1,62
11026764,Q15M2,63
11026764,Q15M3,64
11026764,Q16M1,65
11026764,Q16M2,66
11026764,Q16M3,67
11026764,Q17M1,68
11026764,Q17M2,69
11026764,Q17M3,70
11026966,Q3M3,28
11029516,Q7M2,39
11030475,Q15M1,62
11030475,Q15M2,63
11030475,Q15M3,64
11031993,Q4M2,30
11033141,Q4M1,29
11037105,Q2M2,24
11037219,Q3M3,28
11038312,Q2M3,25
11038543,Q2M3,25
11046458,Q5M1,32
11046458,Q5M2,33
11046458,Q5M3,34
11046458,Q6M1,35
11046458,Q6M2,36
11046458,Q6M3,37
11046458,Q9M1,44
11046458,Q9M2,45
11046458,Q9M3,46
11046458,Q10M1,47
11046458,Q10M2,48
11046458,Q10M3,49
11069176,Q14M1,59
11069176,Q14M2,60
11069176,Q14M3,61
11069176,Q15M1,62
11069176,Q15M2,63
11069176,Q15M3,64
11069176,Q16M1,65
11069176,Q16M2,66
11069176,Q16M3,67
11070918,Q1,20
11071200,Q17M1,68
11071207,Q11M1,50
11071207,Q11M2,51
11071207,Q11M3,52
11072164,Q2M3,25
11072472,Q4M1,29
11072472,Q15M1,62
11072472,Q15M2,63
11072472,Q15M3,64
11073567,Q2M3,25
11073910,Q4M3,31
11074380,Q2M1,23
11074835,Q15M1,62
11074835,Q15M2,63
11074835,Q15M3,64
11075448,Q3M2,27
11075456,Q4M1,29
11075737,Q6M1,35
11075737,Q6M2,36
11075737,Q6M3,37
11075737,Q7M1,38
11075737,Q7M2,39
11075737,Q7M3,40
11075737,Q9M1,44
11075737,Q9M2,45
11075737,Q9M3,46
11075737,Q10M1,47
11075737,Q10M2,48
11075737,Q10M3,49
11075737,Q11M1,50
11075737,Q11M2,51
11075737,Q11M3,52
11075737,Q13M1,56
11075737,Q13M2,57
11075737,Q13M3,58
11075737,Q15M1,62
11075737,Q15M2,63
11075737,Q15M3,64
11075737,Q17M1,68
11075737,Q17M2,69
11075737,Q17M3,70
11080027,Q4M1,29
11081504,Q4M2,30
11081729,Q1,20
11081729,Q5M1,32
11081729,Q5M2,33
11081729,Q5M3,34
11081729,Q6M1,35
11081729,Q6M2,36
11081729,Q6M3,37
11081729,Q7M1,38
11081729,Q7M2,39
11081729,Q7M3,40
11081729,Q8M1,41
11081729,Q8M2,42
11081729,Q8M3,43
11081729,Q9M1,44
11081729,Q9M2,45
11081729,Q9M3,46
11081729,Q10M1,47
11081729,Q10M2,48
11081729,Q10M3,49
11081729,Q11M1,50
11081729,Q11M2,51
11081729,Q11M3,52
11081729,Q12M1,53
11081729,Q12M2,54
11081729,Q12M3,55
11081729,Q13M1,56
11081729,Q13M2,57
11081729,Q13M3,58
11081729,Q14M1,59
11081729,Q14M2,60
11081729,Q14M3,61
11081729,Q15M1,62
11081729,Q15M2,63
11081729,Q15M3,64
11081729,Q16M1,65
11081729,Q16M2,66
11081729,Q16M3,67
11081729,Q17M1,68
11081729,Q17M2,69
11081729,Q17M3,70
11082784,Q4M3,31
11082830,Q4M2,30
11084309,Q2M2,24
11084727,Q3M1,26
11086270,Q5M1,32
11086270,Q5M2,33
11086270,Q5M3,34
11086270,Q6M1,35
11086270,Q6M2,36
11086270,Q6M3,37
11086270,Q9M1,44
11086270,Q9M2,45
11086270,Q9M3,46
11086270,Q10M1,47
11086270,Q10M2,48
11086270,Q10M3,49
11086270,Q17M2,69
11090405,Q2M3,25
11092054,Q2M1,23
11098013,Q3M3,28
11098033,Q2M1,23
11099165,Q2M3,25
11099351,Q3M3,28
11100383,Q6M1,35
11100383,Q6M2,36
11100383,Q6M3,37
11122789,Q2M1,23
11122894,Q12M1,53
11122894,Q12M2,54
11122894,Q12M3,55
11122894,Q16M1,65
11122894,Q16M3,67
11125706,Q7M1,38
11125706,Q7M2,39
11125706,Q7M3,40
11125764,Q5M1,32
11125764,Q5M2,33
11125764,Q5M3,34
11125936,Q10M1,47
11125936,Q10M2,48
11125936,Q10M3,49
11125936,Q11M1,50
11125936,Q11M2,51
11125936,Q11M3,52
11125962,Q3M2,27
11127190,Q7M1,38
11127190,Q7M2,39
11127190,Q7M3,40
11127479,Q3M2,27
11127479,Q14M1,59
11127479,Q14M2,60
11127479,Q14M3,61
11127479,Q15M1,62
11127479,Q15M2,63
11127479,Q15M3,64
11127479,Q17M1,68
11127479,Q17M2,69
11127479,Q17M3,70
11128041,Q1,20
11128041,Q2M1,23
11128041,Q2M2,24
11128041,Q2M3,25
11128041,Q3M1,26
11128041,Q3M2,27
11128041,Q3M3,28
11128041,Q4M1,29
11128041,Q4M2,30
11128041,Q4M3,31
11128126,Q2M1,23
11128126,Q2M2,24
11128126,Q2M3,25
11128126,Q3M1,26
11128126,Q3M2,27
11128126,Q3M3,28
11128126,Q4M1,29
11128126,Q4M2,30
11128126,Q4M3,31
11129289,Q3M1,26
11129289,Q3M2,27
11129289,Q3M3,28
11129289,Q4M1,29
11129289,Q4M2,30
11129289,Q4M3,31
11133100,Q4M2,30
11133306,Q6M1,35
11133306,Q6M2,36
11133306,Q6M3,37
11133306,Q7M1,38
11133306,Q7M2,39
11133306,Q7M3,40
11133306,Q9M1,44
11133306,Q9M2,45
11133306,Q9M3,46
11133306,Q10M1,47
11133306,Q10M2,48
11133306,Q10M3,49
11133306,Q13M1,56
11133306,Q13M2,57
11133306,Q13M3,58
11133306,Q14M1,59
11133306,Q14M2,60
11133306,Q14M3,61
11133306,Q17M1,68
11133306,Q17M2,69
11133306,Q17M3,70
11134456,Q2M1,23
11136719,Q2M3,25
11137075,Q2M2,24
11137075,Q5M1,32
11137075,Q5M2,33
11137075,Q5M3,34
11137075,Q8M1,41
11137075,Q8M2,42
11137075,Q8M3,43
11137841,Q3M1,26
11138047,Q4M2,30
11138047,Q7M1,38
11138101,Q4M2,30
11144500,Q4M2,30
11151915,Q2M1,23
11179629,Q2M3,25
11179629,Q6M1,35
11179629,Q6M2,36
11179629,Q6M3,37
11179657,Q7M1,38
11179657,Q7M2,39
11179657,Q7M3,40
11179657,Q11M1,50
11179657,Q11M2,51
11179657,Q11M3,52
11179657,Q15M1,62
11179657,Q15M2,63
11179657,Q15M3,64
11180130,Q4M3,31
11180361,Q3M3,28
11180361,Q6M1,35
11180361,Q6M2,36
11180361,Q6M3,37
11180361,Q7M1,38
11180361,Q7M2,39
11180361,Q7M3,40
11181004,Q3M3,28
11182716,Q1,20
11182716,Q3M1,26
11182716,Q3M2,27
11182716,Q3M3,28
11182716,Q4M1,29
11182716,Q4M2,30
11182716,Q4M3,31
11182897,Q3M3,28
11183539,Q3M1,26
11183539,Q7M1,38
11183539,Q7M2,39
11183539,Q7M3,40
11187837,Q7M1,38
11187837,Q7M2,39
11187837,Q7M3,40
11188192,Q4M1,29
11189107,Q2M3,25
11189959,Q3M1,26
11192141,Q8M3,43
11193046,Q2M3,25
11193681,Q2M2,24
11193681,Q5M1,32
11193681,Q5M2,33
11193681,Q5M3,34
11193681,Q6M1,35
11193681,Q6M2,36
11193681,Q6M3,37
11193681,Q8M1,41
11193681,Q8M2,42
11193681,Q8M3,43
11193681,Q9M1,44
11193681,Q9M2,45
11193681,Q9M3,46
11193681,Q10M1,47
11193681,Q10M2,48
11193681,Q10M3,49
11193681,Q12M1,53
11193681,Q12M2,54
11193681,Q12M3,55
11193681,Q13M1,56
11193681,Q13M2,57
11193681,Q13M3,58
11193681,Q14M1,59
11193681,Q14M2,60
11193681,Q14M3,61
11193681,Q16M1,65
11193681,Q16M2,66
11193681,Q16M3,67
11193681,Q17M1,68
11193681,Q17M2,69
11193681,Q17M3,70
11197934,Q4M3,31
11199412,Q11M1,50
11199412,Q11M2,51
11199412,Q11M3,52
11200185,Q3M1,26
11200415,Q6M1,35
11200415,Q6M2,36
11200415,Q6M3,37
11205733,Q1,20
11230757,Q2M2,24
11231241,Q2M3,25
11231334,Q2M3,25
11231334,Q10M1,47
11231334,Q10M2,48
11231334,Q10M3,49
11231334,Q11M1,50
11231334,Q11M2,51
11231334,Q11M3,52
11231334,Q13M1,56
11231334,Q13M2,57
11231334,Q13M3,58
11231334,Q14M1,59
11231334,Q14M2,60
11231334,Q14M3,61
11231992,Q2M3,25
11233180,Q2M2,24
11234888,Q1,20
11234888,Q2M1,23
11234888,Q2M2,24
11234888,Q2M3,25
11234888,Q3M1,26
11234888,Q3M2,27
11234888,Q3M3,28
11234888,Q4M1,29
11234888,Q4M2,30
11234888,Q4M3,31
11235323,Q17M1,68
11235323,Q17M2,69
11235323,Q17M3,70
11235721,Q2M1,23
11235721,Q2M2,24
11235721,Q2M3,25
11235721,Q3M1,26
11235721,Q3M2,27
11235721,Q3M3,28
11235721,Q4M1,29
11235721,Q4M2,30
11235721,Q4M3,31
11236253,Q1,20
11236253,Q2M1,23
11236253,Q2M2,24
11236253,Q2M3,25
11236253,Q3M1,26
11236253,Q3M2,27
11236253,Q3M3,28
11236253,Q4M1,29
11236253,Q4M2,30
11236253,Q4M3,31
11241464,Q2M3,25
11244118,Q2M1,23
11244118,Q6M1,35
11244118,Q6M2,36
11244118,Q6M3,37
11244118,Q7M1,38
11244118,Q7M2,39
11244118,Q7M3,40
11244118,Q8M1,41
11244118,Q8M2,42
11244118,Q8M3,43
11244118,Q9M1,44
11244118,Q9M2,45
11244118,Q9M3,46
11244118,Q10M1,47
11244118,Q10M2,48
11244118,Q10M3,49
11244118,Q11M1,50
11244118,Q11M2,51
11244118,Q11M3,52
11244118,Q12M1,53
11244118,Q12M2,54
11244118,Q12M3,55
11244118,Q13M1,56
11244118,Q13M2,57
11244118,Q13M3,58
11244118,Q14M1,59
11244118,Q14M2,60
11244118,Q14M3,61
11244118,Q15M1,62
11244118,Q15M2,63
11244118,Q15M3,64
11244118,Q16M1,65
11244118,Q16M2,66
11244118,Q16M3,67
11244118,Q17M1,68
11244118,Q17M2,69
11244118,Q17M3,70
11244972,Q3M3,28
11250587,Q3M1,26
11250587,Q3M2,27
11250587,Q3M3,28
11250587,Q4M1,29
11250587,Q4M2,30
11250587,Q4M3,31
11250587,Q7M1,38
11250587,Q7M2,39
11250587,Q7M3,40
11250587,Q8M1,41
11250587,Q8M2,42
11250587,Q8M3,43
11253226,Q2M2,24
11253226,Q5M1,32
11253226,Q5M2,33
11253226,Q5M3,34
11253226,Q6M1,35
11253226,Q6M2,36
11253226,Q6M3,37
11253226,Q7M1,38
11253226,Q7M2,39
11253226,Q7M3,40
11253226,Q8M1,41
11253226,Q8M2,42
11253226,Q8M3,43
11253226,Q9M1,44
11253226,Q9M2,45
11253226,Q9M3,46
11253226,Q10M1,47
11253226,Q10M2,48
11253226,Q10M3,49
11253226,Q11M1,50
11253226,Q11M2,51
11253226,Q11M3,52
11253226,Q12M1,53
11253226,Q12M2,54
11253226,Q12M3,55
11253226,Q13M1,56
11253226,Q13M2,57
11253226,Q13M3,58
11253226,Q14M1,59
11253226,Q14M2,60
11253226,Q14M3,61
11253226,Q15M1,62
11253226,Q15M2,63
11253226,Q15M3,64
11253226,Q16M1,65
11253226,Q16M2,66
11253226,Q16M3,67
11253226,Q17M1,68
11253226,Q17M2,69
11253226,Q17M3,70
11253827,Q12M1,53
11253827,Q12M2,54
11253827,Q12M3,55
11253827,Q14M1,59
11253827,Q14M2,60
11253827,Q14M3,61
11253827,Q15M1,62
11253827,Q15M2,63
11253827,Q15M3,64
11253827,Q16M1,65
11253827,Q16M2,66
11253827,Q16M3,67
11255615,Q2M1,23
11255615,Q9M1,44
11255615,Q9M2,45
11255615,Q9M3,46
11255615,Q10M1,47
11255615,Q10M2,48
11255615,Q10M3,49
11259686,Q6M1,35
11259686,Q6M2,36
11259686,Q6M3,37
11284684,Q2M1,23
11285206,Q4M3,31
11285767,Q5M1,32
11285767,Q5M2,33
11285767,Q5M3,34
11288051,Q7M3,40
11288330,Q4M1,29
11288686,Q5M1,32
11288686,Q5M2,33
11288686,Q5M3,34
11289128,Q4M3,31
