#Custom Aperture Number, Target Name
200068780,TNO.Quaoar
200068781,TNO.Quaoar
200068782,TNO.Quaoar
200068783,TNO.Quaoar
200068784,TNO.Quaoar
200068785,TNO.Quaoar
200068786,TNO.Quaoar
200068787,TNO.Quaoar
200068788,TNO.Quaoar
200068789,TNO.Quaoar
200068790,TNO.Quaoar
200068791,TNO.Quaoar
200068792,TNO.Quaoar
200068793,TNO.Quaoar
200068794,TNO.Quaoar
200068795,TNO.Quaoar
200068796,TNO.Quaoar
200068797,TNO.Quaoar
200068798,TNO.Quaoar
200068799,TNO.Quaoar
200068800,TNO.Quaoar
200068801,TNO.Quaoar
200068802,TNO.Quaoar
200068803,TNO.Quaoar
200068804,TNO.Quaoar
200068805,TNO.Quaoar
200068806,TNO.Quaoar
200068807,TNO.Quaoar
200068808,TNO.Quaoar
200068809,TNO.Quaoar
200068810,TNO.Quaoar
200068811,TNO.Quaoar
200068812,TNO.Quaoar
200068813,TNO.Quaoar
200068814,TNO.Quaoar
200068815,TNO.Quaoar
200068816,TNO.Quaoar
200068817,TNO.Quaoar
200068818,TNO.Quaoar
200068819,TNO.Quaoar
200068820,TNO.Quaoar
200068821,TNO.Quaoar
200068822,TNO.Quaoar
200068823,TNO.Quaoar
200068824,TNO.Quaoar
200068825,TNO.Quaoar
200068826,TNO.Quaoar
200068827,TNO.Quaoar
200068828,TNO.Quaoar
200068829,TNO.Quaoar
200068830,TNO.Quaoar
200068831,TNO.Quaoar
200068832,TNO.Quaoar
200068833,TNO.Quaoar
200068834,TNO.Quaoar
200068835,TNO.Quaoar
200068836,TNO.Quaoar
200068837,TNO.Quaoar
200068838,TNO.Quaoar
200068839,TNO.Quaoar
200068840,TNO.Quaoar
200068841,TNO.Quaoar
200068842,TNO.Quaoar
200068843,TNO.Quaoar
200068844,TNO.Quaoar
200068845,TNO.Quaoar
200068846,TNO.Quaoar
200068847,TNO.Quaoar
200068848,TNO.Quaoar
200068849,TNO.Quaoar
200068850,TNO.Quaoar
200068851,TNO.Quaoar
200068852,TNO.Quaoar
200068853,TNO.Quaoar
200068854,TNO.Quaoar
200068855,TNO.Quaoar
200068856,TNO.Quaoar
200068857,TNO.Quaoar
200068858,TNO.Quaoar
200068859,TNO.Quaoar
200068860,TNO.Quaoar
200068861,TNO.Quaoar
200068862,TNO.Quaoar
200068863,TNO.Quaoar
200068864,TNO.Quaoar
200068865,TNO.Quaoar
200068866,TNO.Quaoar
200068867,TNO.Quaoar
200068868,TNO.Quaoar
200068869,TNO.Quaoar
200068870,TNO.Quaoar
200068871,TNO.Quaoar
200068872,TNO.Quaoar
200068873,TNO.Quaoar
200068874,TNO.Quaoar
200068875,TNO.Quaoar
200068876,TNO.Quaoar
200068877,TNO.Quaoar
200068878,TNO.Quaoar
200068879,TNO.Quaoar
200068880,TNO.Quaoar
200068881,TNO.Quaoar
200068882,TNO.Quaoar
200068883,TNO.Quaoar
200068884,TNO.Quaoar
200068885,TNO.Quaoar
200068886,TNO.Quaoar
200068887,TNO.Quaoar
200068888,TNO.Quaoar
200068889,TNO.Quaoar
200068890,TNO.Quaoar
200068891,TNO.Quaoar
200068892,TNO.Quaoar
200068893,TNO.Quaoar
200068894,TNO.Quaoar
200068895,TNO.Quaoar
200068896,TNO.Quaoar
200068897,TNO.Quaoar
200068898,TNO.Quaoar
200068899,TNO.Quaoar
200068900,TNO.Quaoar
200068901,TNO.Quaoar
200068902,TNO.Quaoar
200068903,TNO.Quaoar
200068904,TNO.Quaoar
200068905,TNO.Quaoar
200068906,TNO.Quaoar
200068907,TNO.Quaoar
200068908,TNO.Quaoar
200068909,TNO.Quaoar
200068910,TNO.Quaoar
200068911,TNO.Quaoar
200068912,TNO.Quaoar
200068913,TNO.Quaoar
